grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,The general formula of alcohol is,ROH,Y,\(R CH_2 OH\),N,\(C_6 H_5 OH\),N,ROR,N,"Correct answer is ""ROH"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,The general formula of phenol is,ROH,N,\(R CH_2 OH\),N,\(C_6 H_5 OH\),Y,ROR,N,"Correct answer is ""\(C_6 H_5 OH\)"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,"Which of the following bonds is not reactive, when alcohol reacts with other reagents?",C-O,N,O-H,N,C-C,Y,None of these,N,"Correct answer is ""C-C"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,Phenol is also known as,Derivative of benzene,N,Aromatic alcohol,N,Carbolic acid,N,All of these,Y,"Correct answer is ""All of these"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,Which of the following difference in alcohol and phenol is related to the structure?,Phenolate ions have resonance structures while alcohols do not,Y,Alcohols have bumming taste while phenols have phenolic odour,N,Phenols are more acidic than alcohols,N,All of these,N,"Correct answer is ""Phenolate ions have resonance structures while alcohols do not"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,Which of the following is known as hydroquinone?,"<img src=""https://learningpitch.com/storage/images/63d907792b4da.jpg"">",N,"<img src=""https://learningpitch.com/storage/images/63d9077953da6.jpg"">",N,"<img src=""https://learningpitch.com/storage/images/63d907797c039.jpg"">",Y,All of these,N,"Correct answer is ""<img src=""https://learningpitch.com/storage/images/63d907797c039.jpg"">"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,Which statement is correct about the acidic behavior of phenol?,It readily dissolve in alkalis,N,It is too weak to affect litmus paper,N,It is too weak to evolve \(CO_2\),N,All of these,Y,"Correct answer is ""All of these"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,Disassociation constant value of phenol is:,\(1.5 \times 10^{- 10}\),N,\(1.7 \times 10^{- 5}\),N,\(1.3 \times 10^{- 10}\),Y,\(1.8 \times 10^{- 3}\),N,"Correct answer is ""\(1.3 \times 10^{- 10}\)"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,Which of the following is known as catechol?,"<img src=""https://learningpitch.com/storage/images/63d907792b4da.jpg"">",Y,"<img src=""https://learningpitch.com/storage/images/63d9077953da6.jpg"">",N,"<img src=""https://learningpitch.com/storage/images/63d907797c039.jpg"">",N,All of these,N,"Correct answer is ""<img src=""https://learningpitch.com/storage/images/63d907792b4da.jpg"">"""
12,Chemistry,"Alcohols, Phenols and Ethers","Alcohols, Phenols and Ethers",Acidic Behaviour of Phenol and Difference between Alcohol and Phenol,Phenols are more acidic than _________.,Ethanol,Y,Formic acid,N,Ethanoic acid,N,Propanoic acid,N,"Correct answer is ""Ethanol"""
