grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","'Master gland"" was former name of ","Pituitary gland",Y,"Thyroid gland",N,"Pineal gland",N,Hippocampus,N,"Correct answer is ""Pituitary gland"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","TSH stands for:","Thyroid Stimulating Hormone",Y,"Thyrotropin stimulating hormone",N,"Interstitial cell stimulating hormone",N,"Tropin Stimulating hormone",N,"Correct answer is ""Thyroid Stimulating Hormone"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","In humans _____________is reduced. ","Anterior Pituitary Gland",N,"Median Pituitary Gland",Y,"Posterior Pituitary Gland",N,"Thyroid Gland",N,"Correct answer is ""Median Pituitary Gland"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","_______________is a hormone controlling key aspects of childbirth and lactation.",Oxytocin,Y,Parathormone,N,Calcitonin,N,Insulin,N,"Correct answer is ""Oxytocin"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","The median pituitary lobe secretes ","TSH (Thyroid Stimulating hormone)",N,"FSH (Follicular Stimulating hormone)",N,"ACTH (Adrenocorticotropic hormone)",N,"MSH (Melanocyte Stimulating hormone)",Y,"Correct answer is ""MSH (Melanocyte Stimulating hormone)"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","The posterior pituitary lobe secretes",TSH,N,ADH,Y,LH,N,MSH,N,"Correct answer is ""ADH"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","Pituitary gland is attached to hypothalamus by a stalk called: ","Sphenoid bone",N,Infundibulum,Y,Fibres,N,Scapula,N,"Correct answer is ""Infundibulum"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","Pituitary gland is divided into ___________ lobes.",1,N,2,N,3,Y,4,N,"Correct answer is ""3"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","___________considered as the master gland of the endocrine system.","Anterior Pituitary Gland",Y,"Median Pituitary Gland",N,"Posterior Pituitary Gland",N,"Thyroid Gland",N,"Correct answer is ""Anterior Pituitary Gland"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","Deficiency of GH results in",Gigantism,N,Dwarfism,Y,Acromegaly,N,"Grave’s disease",N,"Correct answer is ""Dwarfism"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","In children, overproduction of growth hormone causes a condition called:",Gigantism,Y,Dwarfism,N,Acromegaly,N,"Grave’s disease",N,"Correct answer is ""Gigantism"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","Over secretion of GH in adult life causes: ",Gigantism,N,Dwarfism,N,Acromegaly,Y,"Grave’s disease",N,"Correct answer is ""Acromegaly"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","_____ is released during child birth and in nursing women ",Oxytocin,Y,ADH,N,ACTH,N,MSG,N,"Correct answer is ""Oxytocin"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","Over secretion of _______ causes ruptering of uterine wall ",Oxytocin,Y,ADH,N,ACTH,N,MSG,N,"Correct answer is ""Oxytocin"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","Under secretion of _________ inhibit normal labour process  ",Oxytocin,Y,ADH,N,ACTH,N,MSG,N,"Correct answer is ""Oxytocin"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","__________ is a pea-sized body attached to the base of the brain","Pituitary gland",Y,"Thyroid gland",N,"Pineal gland",N,Hippocampus,N,"Correct answer is ""Pituitary gland"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","FSH is produced by __________","Thyroid gland",N,"Anterior pituitary gland",Y,"Posterior pituitary gland",N,Gonads,N,"Correct answer is ""Anterior pituitary gland"""
12,Biology,"CHEMICAL COORDINATION","Endocrine System of Man (Pituitary Gland)","Endocrine System of Man (Pituitary Gland)","MSH is produced by _________","Anterior lobe of pituitary gland",N,"Posterior pituitary gland",N,Parathyroid,N,"median pituitary gland",Y,"Correct answer is ""median pituitary gland"""
