grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","Which is the oxidizing agent in the equation? \(HN{O_3} + {H_2}S \to NO + S + {H_2}O\):","\(HN{O_3}\)",Y,"\({H_2}S\)",N,"\(NO\)",N,"Both A and C",N,"Correct answer is ""\(HN{O_3}\)"""
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","Given the redox reaction: \(2I_{\left( {aq} \right)}^ - \; + \;B{r_2} \to Br_{\left( {aq} \right)}^ - \; + \;{I_2}_{\left( s \right)}\) what occurs during this reaction?","The \({I^ - }\) ion is oxidized, and its oxidation number increases",Y,"The \({I^ - }\) ion is oxidized, and its oxidation number decreases",N,"The \({I^ - }\) ion is reduced, and its oxidation number increases",N,"The \({I^ - }\) ion is reduced, and its oxidation number decreases",N,"Correct answer is ""The \({I^ - }\) ion is oxidized, and its oxidation number increases"""
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","Given the reaction: \(2L{i_{\left( s \right)}} + C{l_2}_{\left( g \right)} \to 2LiC{l_{\left( s \right)}}\), as the reaction takes place, the \(C{l_2}_{\left( g \right)}\) will","Gain electrons",Y,"Loss electrons",N,"Gain protons",N,"Loss protons",N,"Correct answer is ""Gain electrons"""
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","Given the balanced equation: \(2A{l_{\left( s \right)}} + 6H_{\left( {aq} \right)}^ +  \to 2Al_{\left( {aq} \right)}^{3 + } + 3{H_2}\) when \(2\) moles of \(A{l_s}\) completely react, what is the total number of moles of electrons transferred from \(A{l_{\left( s \right)}}\) to \(H_{\left( {aq} \right)}^ + \)? ","\(5\)",N,"\(6\)",Y,"\(3\)",N,"\(4\)",N,"Correct answer is ""\(6\)"""
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","When 1 mol of \(C{r^{3 + }}\) is oxidized to form 1 mole of \(C{r_2}O_4^{2 - }\). How many moles of electrons are transferred?","3 mol",N,"4 mol",N,"5 mol",N,"6 mol",N,"Correct answer is """""
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","ANSWER: A","Which of the following step would be the first step to balance the reaction? \(NO_3^ -  + B{r^ - } \to NO + B{r_2}\)",N,"A. Split the reaction into two half reactions",N,"B. Balancing of atoms other than oxygen and hydrogen atoms",N,"C. Balancing of charges",N,"Correct answer is """""
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","ANSWER: D","The oxidation half-equation for the following reaction is: \(C{e^{ + 4}} + {H_3}As{O_3} \to C{e^{ + 3}} + {H_3}As{O_4}\)",N,"A. \(C{e^{ + 4}} \to C{e^{ + 3}}\)",N,"B. \({H_3}As{O_3} \to {H_3}As{O_4}\)",N,"C. \(AsO_3^{ - 3} \to AsO_4^{ - 3}\)",N,"Correct answer is """""
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","ANSWER: C","The reduction half-equation for the following reaction is: \(C{e^{ + 4}} + {H_3}As{O_3} \to C{e^{ + 3}} + {H_3}As{O_4}\)",N,"A. \(C{e^{ + 4}} \to C{e^{ + 3}}\)",N,"B. \({H_3}As{O_3} \to {H_3}As{O_4}\)",N,"C. \(AsO_3^{ - 3} \to AsO_4^{ - 3}\)",N,"Correct answer is """""
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","ANSWER: C","For the redox reaction, \(MnO_4^ -  + {C_2}O_4^{2 - } + {H^ + } \to M{n^{2 + }} + C{O_2} + {H_2}O\) The correct coefficients of the reactants for the balanced reaction are:",N,"A. \(16\;MnO_4^ - \) , \(5\;{C_2}O_4^{2 - }\), \(2\;{H^ + }\)",N,"B. \(2\;MnO_4^ - \) , \(16\;{C_2}O_4^{2 - }\), \(5\;{H^ + }\)",N,"C. \(2\;MnO_4^ - \) , \(5\;{C_2}O_4^{2 - }\), \(16\;{H^ + }\)",N,"Correct answer is """""
11,Chemistry,Electrochemistry,Electrochemistry,"Balancing of Redox Reaction by Ion-Electron or Half-Reaction Method","ANSWER: C","The oxidation half reaction for the following reaction is \(Fe_{\left( {aq} \right)}^{2 + } + C{r_2}O{_7^{2 - }_{\left( {aq} \right)}} \to Fe_{\left( {aq} \right)}^{3 + }\; + Cr_{\left( {aq} \right)}^{3 + }\)",N,"A. \(Fe_{\left( {aq} \right)}^{3 + } \to Fe_{\left( {aq} \right)}^{2 + }\)",N,"B. \(C{r_2}O{_7^{2 - }_{\left( {aq} \right)}} \to Cr_{\left( {aq} \right)}^{3 + }\)",N,"C. \(Cr_{\left( {aq} \right)}^{3 + } \to C{r_2}O{_7^{2 - }_{\left( {aq} \right)}}\)",N,"Correct answer is """""
