grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","The correct relation between one kilowatt-hour & joule is","\(1 kilowatt-hour = 10^3 Joules\)",N,"\(1 kilowatt-hour = 3 x 10^7 Joules\)",N,"\(1 kilowatt-hour = 3.6 x 10^6 Joules\)",Y,"\)1 kilowatt-hour = 36 x 10^3 Joules\)",N,"Correct answer is ""\(1 kilowatt-hour = 3.6 x 10^6 Joules\)"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","1 degree is equal to ________ radians.",0.0245,N,0.0561,N,3.1423,N,0.0174,Y,"Correct answer is ""0.0174"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","Which one of the following is not the unit of same quantity?","Horse Power",Y,Calorie,N,Joules,N,BTU,N,"Correct answer is ""Horse Power"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","Unit henry refers to:","only mutual inductance",N,"only self-inductance",N,"both self and mutual inductance",Y,"magnetic flux",N,"Correct answer is ""both self and mutual inductance"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","1 Parsec = _________","3.26156 light year",Y,"1 m",N,"1 light year",N,"5.8748 meters",N,"Correct answer is ""3.26156 light year"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","The standard of time in S.I system is the clock of",uranium,N,rubidium,N,cesium,Y,radium,N,"Correct answer is ""cesium"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","Which of the following units not belong to the same quantity?",diopter,Y,watt,N,joules-sec,N,"horse power",N,"Correct answer is ""diopter"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","The same physical characteristics can be measured by all the units except",Watt,Y,Joule,N,Calorie,N,"Horsepower Hour",N,"Correct answer is ""Watt"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","The symbols of the units named after scientist should be written by a","small letter",N,"capital letter",Y,number,N,"none of these",N,"Correct answer is ""capital letter"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","The symbols of the units do not take _____ form.¬¬¬¬¬",new,N,plural,Y,singular,N,"none of these",N,"Correct answer is ""plural"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","When temperature is expressed in kelvin, the __________ sign is omitted.",radian,N,degree,Y,negative,N,division,N,"Correct answer is ""degree"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","The units named after scientists are not written with a _______ letter.","small initial",N,"capital initial",Y,"small last",N,"capital last letter",N,"Correct answer is ""capital initial"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","_____ space(s) is left between the last digit of a numeral and the symbol of the unit.",No,N,One,Y,Two,N,"none of these",N,"Correct answer is ""One"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","The numerical values of physical quantities should be written in ____________ form.",scientific,Y,exponential,N,numeral,N,"none of these",N,"Correct answer is ""scientific"""
11,Physics,Measurement,Measurement,"SI base units, derived units and its Conventions","SI unit of velocity is __________.",m,N,m/s,Y,"\(m / s^2\)",N,km,N,"Correct answer is ""m/s"""
