grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","Decreasing ______ can increases the fringe width in young’s double slit experiment:","Width of the slits",N,"Wavelength of light",N,"Distance between the slits and the screen",Y,"Separation between the two slits",N,"Correct answer is ""Distance between the slits and the screen"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","In young’s double slit experiment if the distance between the slits is halved and the distance between slits and the screen is doubled then fringe width will becomes:",Double,N,"Four times",Y,Half,N,"Eight times",N,"Correct answer is ""Four times"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","The distance between the slits in young’s double slit experiment is 0.25cm. Interference fringes are formed on a screen placed at a distance of 100cm from the slits. The distance of third dark fringe from the central bright fringe is 0.059cm. Find the wavelength of incident light.",260nm,N,360nm,N,590nm,Y,600nm,N,"Correct answer is ""590nm"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","Yellow sodium light of wavelength 589nm emitted by a single source passes through two narrow slits 1.00mm apart. The interference pattern is observed on screen 225cm away. How far apart are two adjacent bright fringes?",2.33mm,N,1.33mm,Y,6.35mm,N,40.3mm,N,"Correct answer is ""1.33mm"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","In double slit experiment the second order maximum occurs at θ=0.25˚.the wavelength is 650nm. Determine the slit separation.",1.3mm,N,0.3mm,Y,20.3mm,N,4.33mm,N,"Correct answer is ""0.3mm"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","Yellow light of a single wavelength can’t be",Reflected,N,Refracted,N,Dispersed,Y,Polarized,N,"Correct answer is ""Dispersed"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","If we mix a yellow and blue pigment, the result is a __________ color",black,N,green,Y,blue,N,red,N,"Correct answer is ""green"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","The characteristics property of light waves which does not vary with the medium is",Frequency,Y,Amplitude,N,Velocity,N,Wave,N,"Correct answer is ""Frequency"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","Colour of light is determined by its",Frequency,Y,Amplitude,N,Speed,N,Wavelength,N,"Correct answer is ""Frequency"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","The two theories deal with the nature of light are","Transverse theory and Maxwell theory",N,"Wave theory and Maxwell theory",N,"Corpuscular theory and wave theory",Y,"Corpuscular theory and Maxwell theory",N,"Correct answer is ""Corpuscular theory and wave theory"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","In case of interference fringes","Energy is created at a bright fringes",N,"Energy is destroyed at the dark fringes",N,"Energy is reduced in dark fringes",Y,"Energy is transferred from bright to dark fringes",N,"Correct answer is ""Energy is reduced in dark fringes"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","Width of the interference fringes in young’s double slit experiment increase due to increase in","slit separation",N,"wave length",Y,"order of the fringes",N,"frequency of the source",N,"Correct answer is ""wave length"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","In a double slit experiment the separation of the slits is 1.9 mm and the fringe spacing is 0.31 mm at a distance 1m from the slits. Find the wavelength of light","λ = 5890 A°",Y,"λ = 5690 A°",N,"λ = 2165.1 A°",N,"λ = 1214.5 A°",N,"Correct answer is ""λ = 5890 A°"""
11,,"Physical Optics","Physical Optics","Young's Double slit experiment (Part 2)","Maxwell first demonstrated that light nature was:",Longitudinal,N,"Longitudinal as well as transverse",N,Transverse,Y,"None of the above",N,"Correct answer is ""Transverse"""
