grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","____________ have small pores in their walls, just like a very fine mesh sieve.","glomerular capillaries",Y,"Peritubular capillaries",N,arterioles,N,"Vasa recta",N,"Correct answer is ""glomerular capillaries"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","Sympathetic nervous system can stimulate the__________ to constrict during exercise when blood flow to the kidney is reduced.","Afferent arteriole",N,"Efferent arteriole",Y,"Pertitubular arteriole",N,"Vasa recta",N,"Correct answer is ""Efferent arteriole"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","___________________help in the reabsorption of water and glucose molecules from the Proximal Convulated Tubule into the bloodstream.","Peritubular capillaries",Y,"glomerular capillaries",N,"Vasa recta",N,"Afferent arteriole",N,"Correct answer is ""Peritubular capillaries"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","______________ can reabsorb useful minerals, amino acids, glucose and ions through active transport.","Peritubular capillaries",Y,"glomerular capillaries",N,"Vasa recta",N,"Afferent arteriole",N,"Correct answer is ""Peritubular capillaries"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","___________________ are the barrier to distribution of large plasma proteins into urine. ","Peritubular capillaries",N,"glomerular capillaries",Y,"Vasa recta",N,"Afferent arteriole",N,"Correct answer is ""glomerular capillaries"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","The concentration of the urine mainly depends on the length of the:","Loop of Henle",Y,"Vasa Recta",N,Nephron,N,Hilus,N,"Correct answer is ""Loop of Henle"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","___________________ coiled around the loop of Henle also cooperate in concentrating the urine. ","Papillary duct",N,"Vasa Recta",Y,Nephron,N,Hilus,N,"Correct answer is ""Vasa Recta"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","The flow of the filtrates in both the ascending and descending limb of Henle is in the:","Opposite in direction",Y,"Same in direction",N,"parallel flow",N,"Horizontal flow",N,"Correct answer is ""Opposite in direction"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","Sodium chloride is transported by the ascending loop, which is exchanged with the descending branch of the ______________.","Loop of Henle",N,"Vasa Recta",Y,"Collecting duct",N,Hilus,N,"Correct answer is ""Vasa Recta"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","Urea is transported to the ascending limb of Henle's loop, which is passaged back to the interstitium through the _______________. ","Collecting Tubule",Y,"Vasa Recta",N,"Papillary duct",N,Hilus,N,"Correct answer is ""Collecting Tubule"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","The passage of substances that is carried by the special arrangement of limbs of Henle and the coiling of vasa recta around the loop,  is known as the:",osmoregulation,N,"hormonal mechanism",N,"counter current mechanism.",Y,thermoregulation,N,"Correct answer is ""counter current mechanism."""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","Which of the following statements is corret?","The counter current mechanism operating inside the kidney is the main adaptation for the conservation of water.",N,"Counter current mechanism helps in the uncomplicated transit of water from the collecting tubules, thereby concentrating the filtrate (urine).",N,"The osmolarity increases in the inner medulla by counter current mechanism.",N,"All of above",Y,"Correct answer is ""All of above"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","The mechanism that the kidney use to concentrate ________ is called countercurrent mechanism.",urea,N,urine,Y,"uric acid",N,water,N,"Correct answer is ""urine"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","The concentrated urine is first formed when:","NaCl is transported from the ascending limb of the Henle’s loop to the descending limb of the vasa recta.",Y,"NaCl is transported from the descending limb of the Henle’s loop to the ascending limb of the vasa recta.",N,"The ascending limb of the vasa recta  transports NaCl to the interstitium.",N,"None of above",N,"Correct answer is ""NaCl is transported from the ascending limb of the Henle’s loop to the descending limb of the vasa recta."""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","The urine is concentrated when:","it flows downwards in collecting tubule and encounters higher and higher concentrations of solutes in the interstitium.",N,"it loses water due to osmosis",N,"Both of above",Y,"None of above",N,"Correct answer is ""Both of above"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys","____________ afferent arterioles deliver blood to the glomerulus.","Efferent arterioles",N,"Afferent arterioles",Y,"Glomerular capillaries",N,"Peritubular capillaries",N,"Correct answer is ""Afferent arterioles"""
12,Biology,HOMEOSTASIS,"Regulatory Functions of Kidneys","Regulatory Functions of Kidneys"," __________are smaller in diameter than _____________","afferent arterioles, efferent arterioles",N,"Peritubular veins, Glomerular capillaries",N,"efferent arterioles, afferent arterioles",Y,"Glomerular capillaries, afferent arterioles",N,"Correct answer is ""efferent arterioles, afferent arterioles"""
