grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,The junction between two _______________ is known as synapse.,muscle,N,neurons,Y,cells,N,filaments,N,"Correct answer is ""neurons"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,"In the synapse, the ___________ contains receptor sites for neurotransmitter.",Presynaptic endings,N,Postsynaptic endings,Y,Synaptic cleft,N,None of these,N,"Correct answer is ""Postsynaptic endings"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,____________ is a synapse of a neuron and endocrine or endocrine gland.,Synapse with another neuron,N,Neuromuscular,N,Synapse with same neuron,N,Neuroglandular,Y,"Correct answer is ""Neuroglandular"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,The ___________ is the anatomic site where communication occurs.,Synapse,Y,Muscle,N,Junction,N,Cell fiber,N,"Correct answer is ""Synapse"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,When the neurotransmitter binds to the Neuroreceptor in the postsynaptic membrane which causes the channels to _________,Close,N,Remains same,N,Open,Y,Vibrating,N,"Correct answer is ""Open"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,Maximum speed of nerve impulse transmission is,100 m/sec,N,110 m/sec,N,120m/sec,Y,130 m/sec,N,"Correct answer is ""120m/sec"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,The Myelin sheath is derived from the,Microglia,N,Neuroglial cells,N,Schwann cells,Y,Nerve cells,N,"Correct answer is ""Schwann cells"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,________ are the neurons carrying impulses away from the central nervous system,Efferent nerves,Y,Afferent nerves,N,Extensors,N,Sensory nerves,N,"Correct answer is ""Efferent nerves"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,This amongst the following is found in muscle cells and nerves,membrane potential,N,potassium equilibrium potential,N,resting potential,Y,sodium equilibrium potential,N,"Correct answer is ""resting potential"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,Which of these has the highest permeability in a resting nerve cell?,Cl-,N,Na+,N,K+,Y,I-,N,"Correct answer is ""K+"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,"For the first time, research on nerve cells was carried out on this organism",Grasshopper,N,Drosophila melanogaster,N,Octopus,N,Giant squid,Y,"Correct answer is ""Giant squid"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,"Neurotransmitters can inhibit or excite neurons. _________ for example, is inhibitory whereas __________ is excitatory",GABA; glutamate,Y,Glutamate; GABA,N,Serotonin; dopamine,N,None of these,N,"Correct answer is ""GABA; glutamate"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,A membrane potential is the difference in electrical charge between,potassium and sodium ions,N,the inside and outside of the cell,Y,phosphoric acid and glycolipid layers,N,resting and action potentials,N,"Correct answer is ""the inside and outside of the cell"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,A neuron fires when,there is an excitatory postsynaptic potential (EPSP),N,hyperpolarization occurs at the axon hillock,N,neurotransmitters dock onto receptor proteins,N,depolarization at the axon hillock exceeds the threshold for excitation,Y,"Correct answer is ""depolarization at the axon hillock exceeds the threshold for excitation"""
12,Biology,NERVOUS COORDINATION,Nerve Impulse ,Nerve Impulse ,Neurotransmitters are often stored in,synaptic buttons,N,microtubules,N,vesicles,Y,endoplasmic reticulum,N,"Correct answer is ""vesicles"""
