grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",A/An ___________ is a device used to produce partial vacuum in in vessel attached to it.,Atomizer,N,Filter pump,Y,Ideal engine,N,None of these,N,"Correct answer is ""Filter pump"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",A/An ____________ is a device used that blends air and fuel for an internal combustion engine.,Atomizer,N,Filter pump,N,Ideal engine,N,Engine Carburetor,Y,"Correct answer is ""Engine Carburetor"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",Blood pressure checked by _________.,Sphygmomanometer,Y,Barometer,N,Thermometer,N,none,N,"Correct answer is ""Sphygmomanometer"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",Blood is a ________.,incompressible fluid,Y,compressible fluid,N,both A and B,N,none of the above,N,"Correct answer is ""incompressible fluid"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law","The instrument, which detect the instant at which the external pressure becomes equal to the systolic pressure ________.",stethoscope,Y,thermometer,N,manometer,N,barometer,N,"Correct answer is ""stethoscope"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",The systolic pressure is about _________.,150 torr,N,130 torr,N,120 torr,Y,110 torr,N,"Correct answer is ""120 torr"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",The viscous force the relative motion between the adjacent layers of a fluid in motion. Which one of the flowing fits best in the sentence?,opposes,Y,never affects,N,facilitates,N,may effect under certain conditions,N,"Correct answer is ""opposes"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",The viscosity of a fluid in motion is 1 Poise. What will be its viscosity (in Poise) when the fluid is at rest?,0,N,0.5,N,1,Y,2,N,"Correct answer is ""1"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",Which one of the following is not a unit of dynamic viscosity?,\(Pa - s\),N,\(N - s/m^{2}\),N,Poise,N,Stokes,Y,"Correct answer is ""Stokes"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",Which one of the following is the CGS unit of dynamic viscosity?,Stokes,N,\(Pa - s\),N,\(m^{2}/s\),N,Poise,Y,"Correct answer is ""Poise"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",The shear stress at a point in a liquid is found to be 0.03 N/m2. The velocity gradient at the point is 0.15 s^(-1). What will be its viscosity (in Poise)?,20,N,2,Y,0.2,N,0.5,N,"Correct answer is ""2"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",The magnitude of the viscous drag is given as:,\(\ F = \eta Advdy\),Y,\(F = \eta Adv\),N,\(F = dvdy\),N,\(F = \eta Ady\),N,"Correct answer is ""\(\ F = \eta Advdy\)"""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",Consider a vector field \(\overrightarrow{A}(\overrightarrow{r})\). The closed loop line integral \(\overrightarrow{A}\text{.dl}\) can be expressed as,\(\iint_{}^{}{(\nabla \times A)}\text{.d}\overrightarrow{s}\) over,N,the closed surface bounded by the loop,N,B. \(\iint_{}^{}{(\nabla \times A)}\text{.d}\overrightarrow{s}\) over,N,the open surface bounded by the loop,N,"Correct answer is """""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",D. none of these,ANSWER: B,N,An increase in the speed of a fluid occurs simultaneously with a decrease in static pressure,N,A. Bernoulli's principle,N,B. Le-chatler’s principle,N,"Correct answer is """""
11,Physics,Fluid Dynamics,Fluid Dynamics,"Venturi meter, Viscous Drag & Stroke's Law",D. none of these,ANSWER: A,N,An object moving through a fluid experiences a retarding force known as __________ force.,N,A. drag,N,B. nuclear,N,"Correct answer is """""
