grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","During the journey of spaceship from earth to moon and back, the maximum fuel consumed is:","Against the gravitation of earth in return journey.",N,"Against the gravitation of earth in onward journey.",Y,"Against the gravitation of the moon while reaching the moon.",N,"None of the above.",N,"Correct answer is ""Against the gravitation of earth in onward journey."""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","What is the acceleration due to gravity on the top of Mount Everest? Mount Everest is the highest mountain peak of the world at the height of 8848m. The value at sea level is \(9.80m/s^{2}\).","9.773 \(m/s^{2}\)",Y,"10\( m/s^{2}\)",N,"11 \(m/s^{2}\)",N,"12 \(m/s^{2}\)",N,"Correct answer is ""9.773 \(m/s^{2}\)"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The gravitational field is a conservative field. The work done in this field by moving an object from one point to another.","Depends on the end-points only.",Y,"Depends on the path along which the object is moved.",N,"Depends on the end-points as well as the path between the points.",N,"Is not zero when the object is brought back to its initial position.",N,"Correct answer is ""Depends on the end-points only."""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","In a manned satellite, people experience no gravity and it is known as",Gravity-weight,N,"Gravitational weight",N,Weightlessness,Y,"Less-weight gravity",N,"Correct answer is ""Weightlessness"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","Gravitational field is a conservative field, hence work done is ___________ of path followed.","partially dependent",N,independent,Y,dependent,N,"both ‘a’ and ‘b’",N,"Correct answer is ""independent"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The closed path is that whose initial and final position is _________.",Different,N,Same,Y,zero,N,"None of the above",N,"Correct answer is ""Same"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","Work done in close path in gravitational field is __________. ",minimum,N,maximum,N,zero,Y,"both ‘a’ and ‘c’",N,"Correct answer is ""zero"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","A field in which the work is done in a moving a body along a closed path is zero is called","Electric field",N,"conservative field",Y,"Electromagnetic field",N,"Gravitational field",N,"Correct answer is ""conservative field"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","A field of force in which the work is independent of the path is called a _______________ field.","Electric field",N,"conservative field",Y,"Electromagnetic field",N,"Gravitational field",N,"Correct answer is ""conservative field"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The gravitational field is a conservative field and work done depends on the","First point",N,"Last point",N,"End points",Y,"Mid points",N,"Correct answer is ""End points"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The force that is not one of the conservative forces is","frictional force",Y,"gravitational force",N,"electric force",N,"elastic spring force",N,"Correct answer is ""frictional force"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","Which of the following types of force can do no work on the particle on which it acts? ","Frictional force",N,"Gravitational force",N,"Elastic force",N,"Centripetal force",Y,"Correct answer is ""Centripetal force"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","For equilibrium, the net moment acting on the body by various conservative forces is _____.",One,N,Two,N,Three,N,Zero,Y,"Correct answer is ""Zero"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","What does Newton’s third law states for the conservative forces? ","The rate of change of momentum is equal to the force applied",N,"For every reaction, there is an opposite reaction",Y,"The body tends to be rotated if the force is applied tangentially",N,"The body is rest until a force is applied",N,"Correct answer is ""For every reaction, there is an opposite reaction"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","This figure shows a <img src=""https://learningpitch.com/storage/images/63d8aa4185437.jpg"">","Conservative field",Y,"Non-conservative field",N,"Variable field",N,"None of these",N,"Correct answer is ""Conservative field"""
11,Physics,"Work and Energy","Work and Energy","Conservative Field ","The work done on an object by the force of gravity __________ on the path taken to get from one position to another.",depends,N,"does not depends",Y,"depends on two points",N,"None of these",N,"Correct answer is ""does not depends"""
