grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"Which of the following is not mutagen?",Chemicals,N,Radiations,N,Water,Y,"None of these",N,"Correct answer is ""Water"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"Sickle cell anemia is caused due to change of glutamic acid to:",Leucin,N,Proline,N,Valine,Y,Histidine,N,"Correct answer is ""Valine"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"Major factor(s) for DNA damaged include ","Ionizing radiation",N,"Ultraviolet radiation",N,"Chemical Mutagens",N,"All of these",Y,"Correct answer is ""All of these"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"High energy radiation such X rays and gamma rays is highly _____",Mutagenic,Y,Mutation,N,"Ultraviolet radiation",N,"None of above",N,"Correct answer is ""Mutagenic"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"The ejected electrons leave behind ionized atoms with unpaired electrons each called a free ______",Radical,Y,Plumule,N,Mutation,N,Helix,N,"Correct answer is ""Radical"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"Many _____ result from the direct chemical modification of the DNA bases",Mutagenic,N,Radical,N,Mutations,Y,"None of above",N,"Correct answer is ""Mutations"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"_____ is any change in the amount, organizations or content of genetic material",Decoding,N,Coding,N,Mutation,Y,"None of above",N,"Correct answer is ""Mutation"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"A small segment of a chromosome may he missing a situation called",Deletion,Y,Duplication,N,Translocation,N,Inversion,N,"Correct answer is ""Deletion"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"A part of chromosome be present in excess to normal chromosome called",Deletion,N,Duplication,Y,Translocation,N,Inversion,N,"Correct answer is ""Duplication"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"The transfer of segment of chromosome to a non homologous chromosome",Deletion,N,Duplication,N,Translocation,Y,Inversion,N,"Correct answer is ""Translocation"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"Sickle cell anaemia is a heritable disorder in which the affected individuals are unable to transport ________ to their tissues properly ",Oxygen,Y,"Carbon Dioxide",N,Nitrogen,N,Sulphur,N,"Correct answer is ""Oxygen"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"Red blood cells that contain large proportions of such defective molecules becomes_____ ","Sickle shaped and stiff",Y,"Sickle shaped and flexible",N,"Both A and B",N,"None of above",N,"Correct answer is ""Sickle shaped and stiff"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"Normal Red blood cells are ","Sickle shaped stiff",N,"Disk shaped and flexible",Y,"Disk shapes and stiff",N,"None of above",N,"Correct answer is ""Disk shaped and flexible"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"_____ is a hereditary conditions in which the affected individuals are unable to break down the amino acid phenylalanine ","Sickle cell",N,PKU,Y,"Both A and B",N,"None of above",N,"Correct answer is ""PKU"""
12,Biology,"CHROMOSOME AND DNA",Mutations,Mutations,"A harmful ________can result in a genetic disorder or even cancer",mutation,Y,PKU,N,"Sickle cell",N,None,N,"Correct answer is ""mutation"""
