grade,subject,unit,topic,skill,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,remarks
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","The unit of angular momentum is __________.","Newton sec",N,"Joule sec",Y,"Newton meter",N,"Joule meter",N,"Correct answer is ""Joule sec"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","The angular momentum of the particle is conserved if the:","Net torque acting on it is zero",Y,"Net force acting on it is zero",N,"Acceleration of the particle is zero",N,"Net displacement of the particle is zero",N,"Correct answer is ""Net torque acting on it is zero"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","The magnitude of the angular momentum is given by","\(I\  = \ mvr\ sin\theta\)",N,"\(I\  = \frac{\text{rp}}{\text{sinθ}}\ \)",N,"\(L\  = \ rp\ sin\ \theta\)",Y,"Only A & C",N,"Correct answer is ""\(L\  = \ rp\ sin\ \theta\)"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","The angular momentum of a particle is conserved if the net torque is ",Infinity,Y,Zero,N,Constant,N,"None of these",N,"Correct answer is ""Infinity"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","According to law of conservation of angular momentum","\(\tau\  = \ dl\)",N,"\(\tau\  = \frac{\text{dt}}{\text{dl}}\)",N,"\(\tau\  = \ dt \times dl\)",N,"\(\tau\  = \frac{\text{dl}}{\text{dt}}\ \)",Y,"Correct answer is ""\(\tau\  = \frac{\text{dl}}{\text{dt}}\ \)"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","In rotatory motion, angular momentum plays a role which is analogous to that played by","Linear velocity",N,"Linear momentum",Y,"Linear acceleration",N,Inertia,N,"Correct answer is ""Linear momentum"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","When a torque acting on a system is zero, which of the following will be constant",Force,N,"Angular momentum",Y,"Linear impulse",N,"Linear momentum",N,"Correct answer is ""Angular momentum"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","A load of 10N is suspended from clothes line. This distorts the line so that it makes an angle of 15˚with the horizontal at each end. Find the tension in the clothes line?",20.3N,Y,19.3N,N,30.2N,N,11.2N,N,"Correct answer is ""20.3N"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","Spinning ice skater is an example of ","law of conservation of momentum",N,"law of conservation of angular momentum",Y,"law of conservation of mass",N,"law of conservation of energy",N,"Correct answer is ""law of conservation of angular momentum"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","When there is no external torque present in the system, then its total angular momentum remains conserved. This is the statement of ","law of conservation of momentum",N,"law of conservation of angular momentum",Y,"law of conservation of mass",N,"law of conservation of energy",N,"Correct answer is ""law of conservation of angular momentum"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","Law of conservation of angular momentum is mostly used in",diving,N,ice-skating,N,driving,N,"both a and b",Y,"Correct answer is ""both a and b"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","If no external torque is applied on a body, the total angular momentum remains constant"" the stated law is called","law of conservation of angular velocity",N,"law of conservation of angular acceleration",N,"law of conservation of angular momentum",Y,"none of these",N,"Correct answer is ""law of conservation of angular momentum"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","For angular momentum to be conserved what must be true about the net torque of the system?","net torque equals zero",Y,"net torque is increasing",N,"net torque is decreasing",N,"net torque is constant",N,"Correct answer is ""net torque equals zero"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","Motion of rockets is an example of law of conservation of ___________.","linear momentum",N,"angular momentum",Y,"angular velocity",N,"none of these",N,"Correct answer is ""angular momentum"""
11,Physics,"Rotational and Circular Motion","Rotational and Circular Motion","Angular Momentum","Which of the following principle is used by circus acrobat in his performance?","Conservation of angular velocity",N,"Conservation of angular acceleration",N,"Conservation of angular momentum",Y,"none of these",N,"Correct answer is ""Conservation of angular momentum"""
